Timestamp,F1.1 (uL/min),F1.2 (uL/min),F2.1 (uL/min),F2.2 (uL/min),G1 (bar),G3.1 (bar),G3.2 (bar),P1
11:02:58,0.8,3.2,-1.3,25,6.108,5.204,4.663,0.557
11:02:59,0.2,2.3,-1.2,24.7,6.053,5.096,4.62,0.557
11:03:00,-0.1,2.1,-1.2,23.8,6.114,5.143,4.489,0.555
11:03:01,0.2,1.7,-1.2,23.9,5.922,5.12,4.721,0.555
11:03:02,0.2,1.6,-1.2,24.2,5.928,5.085,4.736,0.555
11:03:03,0.1,0.8,-1.2,24.2,6.056,5.242,4.442,0.557
11:03:04,0.1,0.8,-1.2,24.2,6.056,5.242,4.442,0.557
11:03:05,0,0.9,-1.2,24.2,6.131,5.207,4.471,0.558
11:03:06,0,0.9,-1.2,24.2,6.131,5.207,4.471,0.559
11:03:07,0,0.7,-1.2,23.6,5.974,5.216,4.538,0.555
11:03:08,0,0.7,-1.1,23.4,6.059,5.044,4.614,0.558
11:03:09,0.1,0.5,-1.1,23.6,6.169,5.16,4.567,0.559
11:03:10,0.1,0.5,-1.1,23.6,6.169,5.16,4.567,0.56
11:03:11,0.2,0.1,-1.1,23.8,5.995,5.07,4.521,0.558
11:03:12,0.1,0,-1,23.7,5.817,5.006,4.46,0.556
11:03:13,0.1,0,-1,22,5.957,4.945,4.53,0.557
11:03:14,0.1,0,-1,22.4,6.073,4.814,4.704,0.559
11:03:15,0.1,0.1,-1,22.1,6.085,4.983,4.611,0.559
11:03:16,0.2,0,-1,21.4,6.07,4.998,4.625,0.559
11:03:17,0.2,0,-1,21.4,6.07,4.998,4.625,0.559
11:03:18,0.1,0,-1,21.4,6.067,5.126,4.509,0.559
11:03:19,0.1,0,-1,21.4,6.067,5.126,4.509,0.559
11:03:20,0,0,-1,22.5,5.957,4.96,4.596,0.558
11:03:21,0.1,-0.2,-0.9,22,6.085,5.149,4.573,0.559
11:03:22,0.1,-0.2,-0.9,22,6.085,5.149,4.573,0.559
11:03:23,0.2,-0.3,-0.9,21.7,6.059,5.024,4.716,0.56
11:03:24,0.1,-0.3,-0.9,20,6.05,5.131,4.643,0.56
11:03:25,0.2,-0.2,-0.9,21.3,5.992,5.044,4.623,0.559
11:03:26,0.2,-0.3,-0.9,20.6,6.073,4.928,4.713,0.56
11:03:27,0.3,-0.3,-0.9,20.6,6.044,5.245,4.527,0.56
11:03:28,0.3,-0.3,-0.9,19.9,6.076,5.024,4.745,0.56
11:03:29,0.3,-0.3,-1,20.1,6.038,5.172,4.689,0.56
11:03:30,0.3,-0.3,-1,20.1,6.038,5.172,4.689,0.56
11:03:31,0.3,-0.4,-0.9,20,6.033,5.024,4.684,0.56
11:03:32,0.2,-0.4,-0.7,18.6,5.98,5.038,4.66,0.56
11:03:33,0.1,-0.4,-0.7,19.6,5.98,5.038,4.66,0.56
11:03:34,0.1,-0.5,-0.7,18.5,6.091,5.137,4.634,0.561
11:03:35,0.2,-0.5,-0.7,18.6,5.922,5.021,4.652,0.56
11:03:36,0.3,-0.3,-0.8,19.5,5.995,5.155,4.585,0.56
11:03:37,0.3,-0.3,-0.8,20,5.98,5.082,4.564,0.56
11:03:38,0.3,-0.3,-0.8,20,5.98,5.082,4.564,0.559
11:03:39,0.3,-0.3,-0.8,19.5,6.097,5.204,4.349,0.561
11:03:40,0.3,-0.2,-0.8,19.6,6.027,5.172,4.367,0.56
11:03:41,0.3,-0.3,-0.9,19,5.94,5.137,4.503,0.559
11:03:42,0.2,-0.4,-0.9,18.6,6.163,5.181,4.553,0.562
11:03:43,0.2,-0.4,-0.8,17.9,6.033,5.175,4.591,0.561
11:03:44,0.3,-0.4,-0.8,17.9,6.033,5.175,4.591,0.561
11:03:45,0.3,-0.4,-0.8,19,6.03,5.239,4.623,0.561
11:03:46,0.2,-0.4,-0.8,19.2,5.87,5.227,4.535,0.559
11:03:47,0.2,-0.4,-0.8,19.2,5.87,5.227,4.535,0.558
11:03:48,0.2,-0.4,-0.8,19.5,5.876,5.123,4.721,0.558
11:03:49,0.2,-0.4,-0.8,19.5,5.876,5.123,4.721,0.558
11:03:50,0.2,-0.2,-0.7,18.1,5.989,5.155,4.753,0.559
11:03:51,0.2,-0.3,-0.6,16.5,6.082,4.986,4.698,0.56
11:03:52,0.3,-0.3,-0.6,16.6,6.12,5.163,4.753,0.561
11:03:53,0.1,-0.3,-0.6,16.6,5.948,5.146,4.55,0.559
11:03:54,0.3,-0.3,-0.6,16.6,6.024,5.137,4.579,0.56
11:03:55,0.3,-0.3,-0.6,16.6,5.94,5.157,4.53,0.558
11:03:56,0.4,-0.3,-0.6,16.6,5.94,5.03,4.471,0.559
11:03:57,0.3,-0.3,-0.5,16.3,5.969,5.163,4.489,0.559
11:03:58,0.2,-0.3,-0.5,15.7,5.928,5.178,4.509,0.558
11:03:59,0.3,-0.3,-0.5,15.6,5.995,5.248,4.41,0.559
11:04:00,0.2,-0.4,-0.5,15.4,5.951,5.096,4.588,0.558
11:04:01,0.3,-0.4,-0.6,14.6,5.937,5.219,4.448,0.558
11:04:02,0.3,-0.4,-0.6,14.8,6.067,5.16,4.596,0.559
11:04:03,0.3,-0.4,-0.6,14.8,6.067,5.16,4.596,0.56
11:04:04,0.3,-0.4,-0.6,14.7,5.977,5.044,4.745,0.558
11:04:05,0.3,-0.4,-0.6,14.2,5.847,5.294,4.439,0.557
11:04:06,0.3,-0.4,-0.6,14.2,5.847,5.294,4.439,0.556
11:04:07,0.2,-0.3,-0.5,14.2,6.105,4.922,4.532,0.56
11:04:08,0.2,-0.3,-0.5,14.2,6.105,4.922,4.532,0.56
11:04:09,0.3,-0.3,-0.5,13.8,5.666,5.096,4.553,0.554
11:04:10,0.3,-0.3,-0.5,13.8,5.666,5.096,4.553,0.553
11:04:11,0.4,-0.4,-0.4,13.8,6.262,5.224,4.55,0.561
11:04:12,0.3,-0.4,-0.4,14,6.271,5.146,4.53,0.561
11:04:13,0.2,-0.3,-0.5,14.4,5.893,5.201,4.477,0.562
11:04:14,0.3,-0.3,-0.5,14,6.23,5.047,4.596,0.562
11:04:15,0.4,-0.3,-0.5,13.8,5.815,5.23,4.53,0.557
11:04:16,0.4,-0.3,-0.5,14.3,5.905,5.23,4.343,0.558
11:04:17,0.4,-0.3,-0.5,14.3,5.934,5.236,4.364,0.558
11:04:18,0.4,-0.4,-0.5,15.5,6.006,5.108,4.532,0.56
11:04:19,0.4,-0.4,-0.5,15.4,6.085,5.169,4.643,0.56
11:04:20,0.2,-0.4,-0.5,14.2,6.088,4.986,4.707,0.56
11:04:21,0.3,-0.4,-0.5,14.2,6.088,4.986,4.707,0.561
